Cell No.,Nucleus location (X),Nucleus location (Y),Nucleus perimeter,EOMES,POLR2A,SOX2,DLX6,SATB2,BCL11B,CPLX3,HS3ST4,CRYM,EXOC6,FOXN2,SOSTDC1,SERPINI1,SPLIT3,ZFPL1,NGEF,PALMD,TUBA4A,NR2F1,NEFL,NR4A2,CBLN2,MEF2E,PPP1R1B,RUNX1T1,LPL,GABRA5
191,1643,431,375.7,0,2,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,1307,1321,311.7,0,3,4,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,1,0
193,3216,1206,202.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,3139,178,371.0,0,6,9,0,4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
195,4334,1064,369.8,0,1,1,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
196,5429,1251,333.6,0,2,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
197,995,4756,158.1,1,0,7,0,3,0,0,0,0,0,0,0,0,0,0,1,2,1,0,1,0,0,2,0,1,1,0
198,3847,2949,488.1,1,6,0,0,2,1,1,0,0,0,0,0,0,2,0,0,2,1,0,0,0,0,0,1,0,0,0
199,4133,1326,388.2,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0
200,2980,53,544.1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,5159,3610,396.8,0,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
